time,thscode,ths_chg_ratio_m_stock
2014-02-28,000826.SZ,-4.1439806412583
2014-02-28,600886.SH,-3.8095238095238
2014-02-28,000786.SZ,-1.7414601473543
2014-02-28,601186.SH,-2.1897810218978
2014-02-28,000625.SZ,-10.268270120259
2014-02-28,601012.SH,-18.246753246753
2014-02-28,300015.SZ,23.119266055046
2014-02-28,600050.SH,2.0
2014-02-28,601933.SH,-9.7154753643303
2014-02-28,002624.SZ,-3.5851472471191
2014-02-28,600157.SH,-3.8793103448276
2014-02-28,002024.SZ,-9.9229287090559
2014-02-28,601099.SH,-8.4306095979248
2014-02-28,600196.SH,21.16991643454
2014-02-28,600018.SH,-4.8289738430583
2014-02-28,600900.SH,-0.99502487562192
2014-02-28,600271.SH,9.9369849733398
2014-02-28,600585.SH,-5.0409577819786
2014-02-28,600016.SH,2.5885558583106
2014-02-28,002470.SZ,-3.3594109526001
2014-02-28,601607.SH,3.4353995519044
2014-02-28,600741.SH,2.7118644067797
2014-02-28,600372.SH,-12.196063296025
2014-02-28,000768.SZ,-7.3354908306365
2014-02-28,601390.SH,-1.2448132780083
2014-02-28,002065.SZ,16.611380454198
2014-02-28,002007.SZ,-9.4841930116473
2014-02-28,601727.SH,5.9490084985836
2014-02-28,600066.SH,0.89186176142698
2014-02-28,600570.SH,-7.7202543142598
2014-02-28,000568.SZ,2.6878436163714
2014-02-28,601718.SH,-1.1406844106464
2014-02-28,000959.SZ,9.2307692307692
2014-02-28,000792.SZ,0.46979865771812
2014-02-28,300027.SZ,-20.709866492999
2014-02-28,000338.SZ,-0.28571428571428
2014-02-28,000963.SZ,-2.601908065915
2014-02-28,600010.SH,9.5238095238095
2014-02-28,002294.SZ,-4.2204724409449
2014-02-28,600104.SH,-2.1571648690293
2014-02-28,601377.SH,-4.4004400440044
2014-02-28,300251.SZ,-19.565217391304
2014-02-28,002500.SZ,1.620029455081
2014-02-28,300059.SZ,-15.825091098386
2014-02-28,600887.SH,-0.93088857545839
2014-02-28,600390.SH,64.814814814815
2014-02-28,002594.SZ,47.244501940492
2014-02-28,600816.SH,-7.421875
2014-02-28,002153.SZ,-12.03125
2014-02-28,601336.SH,0.0
2014-02-28,600703.SH,-5.3182579564489
2014-02-28,600660.SH,2.477183833116
2014-02-28,601899.SH,6.25
2014-02-28,000503.SZ,4.8560378169317
2014-02-28,002310.SZ,-1.4593214155418
2014-02-28,300017.SZ,-11.456601263718
2014-02-28,000402.SZ,-6.5040650406504
2014-02-28,000709.SZ,0.0
2014-02-28,601766.SH,-1.6509433962264
2014-02-28,601633.SH,-15.485636114911
2014-02-28,600188.SH,-10.641200545703
2014-02-28,000001.SZ,-2.3684210526316
2014-02-28,002146.SZ,-12.424242424242
2014-02-28,601888.SH,12.748885586924
2014-02-28,600383.SH,-0.82644628099172
2014-02-28,600498.SH,-0.34435261707988
2014-02-28,600085.SH,-0.80731969860065
2014-02-28,601998.SH,45.983379501385
2014-02-28,600438.SH,2.6875699888018
2014-02-28,601877.SH,8.3471760797342
2014-02-28,000538.SZ,-6.45758466732
2014-02-28,002202.SZ,-1.9467213114754
2014-02-28,601628.SH,0.94752186588921
2014-02-28,600482.SH,15.02538071066
2014-02-28,002601.SZ,-2.9312288613303
2014-02-28,601901.SH,1.4209591474245
2014-02-28,002508.SZ,-8.4880636604775
2014-02-28,600019.SH,-2.9023746701847
2014-02-28,600549.SH,0.47915668423575
2014-02-28,000858.SZ,4.3032786885246
2014-02-28,600153.SH,12.389478046363
2014-02-28,600519.SH,13.479576399395
