time,thscode,ths_float_ashare_stock,ths_active_buy_large_amt_stock,ths_active_sell_large_amt_stock,ths_active_buy_main_amt_stock,ths_active_sell_main_amt_stock,ths_active_buy_middle_amt_stock,ths_active_sell_middle_amt_stock,ths_active_buy_small_amt_stock,ths_active_sellsmall_amt_stock,ths_dde_stock,ths_net_infow_stock,ths_dde_5d_stock,ths_dde_10d_stock,ths_dde_20d_stock
2014-01-30,601336.SH,1100580772,0,5385497,3496807,12527612,7884160,14874706,,,-9152228,-424751,-38838218,-7999665,-102143164
2014-01-30,600703.SH,1349508354,19616958,57923313,18411336,28605455,29635924,49617542,,,-56634781,-2361399,-265865758,-456369421,-563803844
2014-01-30,600660.SH,2002986332,0,3811324,1748975,4681491,10400903,7292333,,,-6180099,-811105,-27526541,-84444629,-178077267
2014-01-30,601899.SH,15803803650,1640250,6287911,3750749,4220638,5929256,9382578,,,-6760605,-3008988,-2216940,-17168365,-83784140
2014-01-30,000503.SZ,897924706,22166713,31851492,34844148,37257959,36847845,39006304,,,-5144122,-227385,123374419,158551862,90735538
2014-01-30,002310.SZ,299616281,6882908,34119465,6224726,8050709,5778371,7386867,,,-22830916,-829887,-111633892,-138269186,-392541474
2014-01-30,300017.SZ,101760217,149572720,170692130,24185650,26391098,17447516,15669701,,,-28335011,-233589,-78507968,-105617436,-164453081
2014-01-30,000402.SZ,3024393105,0,1577246,3115296,7217309,6592989,14322790,,,1777322,357584,-3778201,6192145,-122051375
2014-01-30,000709.SZ,5089380522,3858069,4920872,1361943,3856655,3021054,7140377,,,3795716,2148728,-15658592,-36555480,-133043615
2014-01-30,601766.SH,10116896300,23895269,62308691,22265261,61812882,30691643,19281992,,,-115562745,-27204618,-314067096,-246732618,-419815720
2014-01-30,601633.SH,304243000,1038928,15173602,4763045,23848847,12005858,46248889,,,-26423875,-719498,-20666197,-8520619,-241194305
2014-01-30,600188.SH,2959980000,0,0,374495,1882839,1384334,4906414,,,-2263239,-308456,-5168775,-6181556,-21811880
2014-01-30,000001.SZ,5575901875,16461744,59232911,20982383,54587967,44383883,77058799,,,-62515908,-5479524,-230024091,-317346688,-754338894
2014-01-30,002146.SZ,1653392397,30081715,71555861,13757947,11502565,13093062,11126565,,,-34431089,-3496166,27066784,49380088,-36170730
2014-01-30,601888.SH,880000000,1010400,1690963,5106511,8456803,6491584,10108009,,,-6878402,-204000,-73910628,-63511214,-71774454
2014-01-30,600383.SH,4471508572,2490406,31767828,7082168,16042914,7681576,9292108,,,-22808248,-3778501,-5004558,43419801,-345644624
2014-01-30,600498.SH,965719600,0,9778162,3570230,14800219,17830239,27128552,,,-20480425,-1403751,-47622056,-50492158,-162978578
2014-01-30,600085.SH,1311097303,1110089,8134592,3825689,13842054,11727378,51493265,,,-14096700,-755672,-145522469,-153776734,-280386335
2014-01-30,601998.SH,31905164057,0,17475156,1337211,5109832,4854633,11960933,,,-17605885,-4835540,-4377994,-11285794,-44824901
2014-01-30,600438.SH,687520000,1614598,0,2145396,2694155,2642314,5120745,,,-2273022,-258938,8205434,-27565303,-10506847
2014-01-30,601877.SH,1008018000,0,0,0,1705751,617530,2429379,,,-127455,-5238,-14087044,-46154937,-16956978
2014-01-30,000538.SZ,694243539,5726125,20611795,12472978,20157194,16971731,27277614,,,11824985,127676,18754578,43815480,54557752
2014-01-30,002202.SZ,2143247227,29677466,20428545,17704428,9555272,15067959,20940714,,,8905950,885901,1515983,150486608,288258614
2014-01-30,601628.SH,20823530000,0,12767612,5798818,14336225,17851091,37143702,,,-19679568,-1440020,-102637582,-2366843,-37059494
2014-01-30,600482.SH,461000000,0,0,757564,1103154,5268253,6565479,,,-695413,-70856,4932889,4932889,-11022868
2014-01-30,002601.SZ,111582034,4196463,3088015,2151878,866837,1387728,1703471,,,1463051,82627,11747507,17982702,-7992530
2014-01-30,601901.SH,3496771615,13542415,51902516,16742156,38749897,44063122,54973520,,,-78908562,-13860639,-113536572,-143506765,-719349262
2014-01-30,002508.SZ,249400000,2666457,4938120,2918425,1940760,1992384,2292510,,,-3567558,-95096,15113336,4718904,5858272
2014-01-30,600019.SH,16471724924,3415000,4080104,3461479,3256747,4900248,5648960,,,-3548584,-936096,14323507,-32100807,-128308103
2014-01-30,600549.SH,681980000,0,4347798,4906735,5409021,9696362,16515370,,,-8451032,-404574,-8500739,-54331722,-133447427
2014-01-30,000858.SZ,3795590080,0,16328334,7540836,16805629,25605301,49805511,,,-762092,-47961,-78858176,-9921299,-61407586
2014-01-30,600153.SH,2237750741,0,1169814,2086553,5499824,6111536,10690162,,,-4190107,-686557,-17836268,-130828764,-278693243
2014-01-30,600519.SH,1038180000,62146290,58569482,55679744,66691395,81974947,107177709,,,-81673161,-614199,-175341942,379807406,412703541
2014-01-30,002085.SZ,134766402,2214611,14756524,847848,4308536,1846745,3246640,,,-7800781,-401622,-15428720,-22994906,-6196699
2014-01-30,600297.SH,350000000,0,0,0,0,855013,1203085,,,0,0,1442184,3775168,2975355
2014-01-30,000333.SZ,686317909,0,17854729,11425502,35595201,58460411,73182683,,,-63941745,-1364392,-207743228,-275894500,-313313800
2014-01-30,600036.SH,20628944429,16167886,76731493,18069724,40604934,23599450,60345929,,,-52811143,-5096679,-264867064,-493813845,-363479513
2014-01-30,601333.SH,5652237000,8477351,3922974,5651329,2283436,7159950,5633968,,,5774023,2281646,-20607188,-25113090,-168219643
2014-01-30,601991.SH,9894360000,0,0,833718,3075332,2277070,3703413,,,-3164693,-844052,-58588883,-72790266,-104547003
2014-01-30,300024.SZ,288249832,52908574,54045461,20643571,13641173,16293249,21582921,,,-1788713,-34465,21640861,34252881,-45365727
2014-01-30,000415.SZ,435419121,1171755,5897101,6541032,21075361,21250170,40379315,,,-18887952,-2234476,-7314658,-24539876,-43076887
2014-01-30,600535.SH,1032842654,6521177,1350000,12445523,13589356,10678773,28108003,,,4315427,94246,-16725034,-6382863,193781277
2014-01-30,601992.SH,1266550199,0,0,2779955,6611704,5485597,9825206,,,-5673233,-958661,-32714077,-44091793,-173358232
2014-01-30,600362.SH,2075247405,0,1340158,2226309,4494769,4464377,9662629,,,-4616500,-344541,-1648524,-20152603,3669704
2014-01-30,600820.SH,885736577,0,3501503,0,4104629,6017429,6044684,,,-6565205,-774914,-7380957,-6263184,-42868372
2014-01-30,601808.SH,2910468000,3574506,27291401,18038525,39104889,43428355,66792067,,,-24339103,-1175847,-90318055,-23148226,-26815311
2014-01-30,601601.SH,6208287273,8234688,42332079,18099844,31075388,30867208,36176685,,,-40442595,-2459732,-204390088,-316269321,-476767205
2014-01-30,600489.SH,2943228797,5445447,1914994,8370166,6540457,11268858,16552735,,,1916837,233795,-111199,-1767429,-97479380
2014-01-30,002555.SZ,34000000,42141581,39828882,10510945,11537502,8595929,11126944,,,7309210,158385,-974887,-15690773,-34286909
2014-01-30,000728.SZ,1964100000,1340632,3787164,9494385,13966890,18910471,18438574,,,4383678,445094,5653773,25723243,-45295324
2014-01-30,600867.SH,931455025,0,11931202,10276544,20360514,21269470,22674164,,,-22402541,-1764286,-278145086,-362313342,-334628922
2014-01-30,002241.SZ,1187850976,81669165,155781180,16015411,20767038,12899458,18867880,,,-40880915,-1415147,-370212751,-499684282,-738493472
2014-01-30,000723.SZ,194864102,0,0,0,0,1874853,2577156,,,-447144,-80712,-6713088,-13025873,-12524314
2014-01-30,600893.SH,1086223956,269061010,101884226,108774348,95583401,98502219,129107951,,,180631340,7742812,350559202,295113388,341133446
2014-01-30,601088.SH,16491037955,2388413,14806938,6945408,19220323,16684871,32019588,,,-26552651,-1910031,-76799631,-118859770,-242039368
2014-01-30,600015.SH,6487686811,3875727,16459265,10939777,25920259,18758377,28417481,,,-25603982,-3113565,67880173,35092494,-38866225
2014-01-30,601006.SH,14866791491,14871386,2857700,17589531,10058033,23868113,17329802,,,13597397,1867715,63547806,98562073,-43528
2014-01-30,002230.SZ,330851307,346204400,255468880,51299519,48303864,36105004,36400783,,,5104077,90938,23343284,118057236,111104268
2014-01-30,603993.SH,1968421050,0,0,0,0,1097993,3487297,,,0,0,3818029,931244,-8033965
2014-01-30,600030.SH,9814661700,36131593,88149182,67385654,81841924,58625571,84446932,,,23148115,1985801,-250517291,-199401652,-993992188
2014-01-30,000898.SZ,6148903947,0,667512,187572,1132817,1004481,2187081,,,427753,145890,33730,-88830,-15904378
2014-01-30,601939.SH,9593657606,8387696,6153141,2151286,6571273,5629276,13468954,,,6327360,1606686,11128611,-10037867,-81273963
2014-01-30,600583.SH,3889440000,6249084,47147086,10096331,37167306,19344222,27004155,,,-48975704,-5842843,77503280,251903292,408529854
2014-01-30,601318.SH,4786409636,213888890,303511910,87652573,116062533,95131653,181355520,,,25179950,637960,-533754203,-628515285,-737411065
2014-01-30,000069.SZ,3131511378,17767731,20709737,7213110,16721454,11448969,22161009,,,3363962,620205,-50702671,90671941,-162158482
2014-01-30,600999.SH,4661099829,9312840,38663791,18209282,45618117,47552119,63978539,,,-39950793,-3383241,-126795660,-90344129,-576140078
2014-01-30,600048.SH,7137994391,9470046,38053213,18001948,33511599,29938966,42394703,,,-53912455,-6918359,-105086159,55323127,-272365419
2014-01-30,002466.SZ,53283000,957181,2492745,2809268,2419205,487125,2472726,,,653363,19600,10796121,6766243,5747952
2014-01-30,600009.SH,1093476397,2151731,1328231,1082317,10175610,6896679,14392869,,,-9853594,-742030,-25547671,-46413008,-152778061
2014-01-30,601989.SH,12110075229,28232749,32800271,33655104,35727389,49047610,44923954,,,-2895540,-575442,-10389500,-146695946,-675739456
2014-01-30,002081.SZ,1102462449,21140397,34292862,9976357,10547390,10727441,14891155,,,-6204871,-324927,-165126284,-165681645,-280619257
2014-01-30,600111.SH,1479469854,10802472,50771054,20812710,37135131,39068860,53802107,,,-59728565,-2852117,-141594573,-388182036,-599010553
2014-01-30,002411.SZ,236885538,2574302,10244542,3381596,5151405,2038317,6287490,,,-4946886,-477910,-16692051,-22163847,-32965859
2014-01-30,002572.SZ,108000000,0,4135055,599518,2368433,797287,1499516,,,-2762082,-148983,-18746398,-35100022,-49882454
2014-01-30,601009.SH,2968933194,0,3405640,765265,6444516,5441090,14852801,,,-2780682,-351750,-15521222,-26468685,-9829102
2014-01-30,600795.SH,15395054234,4970252,15312265,2679529,4161162,8097922,6828201,,,-12740395,-5544181,-36404489,-52921565,-173048214
2014-01-30,601117.SH,4933000000,1358376,1853999,12885140,25639651,18099767,21027809,,,-16082591,-2599626,-84498829,-286528219,-622846281
2014-01-30,002304.SZ,882839981,22762041,40738307,4627307,11008797,4475135,8852371,,,-11022459,-274823,-40559920,-104709533,-168778562
2014-01-30,002460.SZ,98120352,437201,7103205,2390952,4484267,2471710,4319763,,,-3695765,-146309,6980049,-19667946,-9691409
2014-01-30,002468.SZ,276480000,0,3415039,1344669,2964054,1234874,3276645,,,-3805358,-474456,-16123894,-8100592,-18473393
2014-01-30,600352.SH,1527865930,1080116,10803646,5304411,12358097,12984210,21123968,,,-14034928,-1187532,-53596687,-53397276,-327911938
2014-01-30,600376.SH,2242012500,0,2654880,3489376,10124403,3814512,5697993,,,-5271909,-1176453,-32474038,-24014637,-146440167
2014-01-30,000559.SZ,1590177606,9752112,24106836,17428023,32374705,39212256,52752987,,,-29134354,-4587078,162217773,156123332,122251768
2014-01-30,300033.SZ,65065320,21235441,12229674,8346336,13585012,8301745,10094030,,,8781015,308044,25463984,31793061,30840747
2014-01-30,002044.SZ,224250000,10587052,7872369,2759314,5613719,3317670,4187906,,,2233564,321103,-2046979,-1384169,1222196
2014-01-30,600276.SH,1360221193,3139180,3258061,12516366,7310143,29291284,20004347,,,5202561,139800,-50676212,-64768115,-49804755
2014-01-30,601818.SH,39810359500,11644529,45089476,6517550,11105155,9888411,21748884,,,-45819125,-18349559,-40095328,-162718730,-184408423
2014-01-30,600221.SH,11812064188,4002235,5545190,2351291,4692904,3954739,15307318,,,-12960739,-6993740,-74647291,-115542972,-262387187
2014-01-30,000783.SZ,2371183529,3578917,16602254,18538000,27833176,22240250,50427902,,,-11997114,-1277552,-84121277,-87412850,-433514453
2014-01-30,000876.SZ,1074129402,4640311,11342210,4378812,17474585,15652419,16683937,,,-20927823,-1768409,-90991384,-154201319,-256249202
2014-01-30,601866.SH,7932125000,438000,8021564,1646743,5442534,3624809,3996618,,,-11621924,-5332426,-32465513,-37909005,-80175340
2014-01-30,600522.SH,704504223,31799682,15440963,29911478,19402929,47487996,48226816,,,36836486,3074467,225555293,275192705,224687364
2014-01-30,601398.SH,264594628396,4428028,25376102,13138039,8106732,12739242,20488746,,,-9902962,-2895977,-26507753,-218093933,-427940798
2014-01-30,600398.SH,646604078,2239773,4366920,7598493,16413092,16291950,26414373,,,4597428,521686,-1212279,-21391721,-18285268
2014-01-30,601788.SH,3418000000,1424396,3171271,2354160,11605790,9046382,12842679,,,-10693920,-1325405,-55923239,-55989966,-238545743
2014-01-30,000627.SZ,1353589866,0,0,923826,1226421,739627,1315571,,,130805,53908,-4702171,-8126600,-29441744
2014-01-30,600436.SH,160884589,0,2511270,3332068,3029527,10106672,18519972,,,-704944,-8304,-13216432,-58283636,-117840941
2014-01-30,600118.SH,1182489135,29081281,11789500,64568247,38564362,80852753,68477667,,,37206435,1949321,6745976,52706990,87457856
2014-01-30,601669.SH,3003000000,4585797,9559978,2160713,8960062,8046836,19772198,,,-8286794,-2990288,-63050267,-95540075,-251878075
2014-01-30,601618.SH,16239000000,1666159,5283670,1212267,2217413,2033088,3420800,,,-4722255,-2828217,-7364651,-11422799,-64233759
2014-01-30,601898.SH,9006977174,0,871530,1066717,2172136,2381508,4977713,,,-3351226,-767130,-3063864,-15371696,-28230563
2014-01-30,600739.SH,1364709816,0,13923254,9539908,32925082,22225343,30001626,,,-32467037,-2102537,-121683994,-175969493,-739991190
2014-01-30,300070.SZ,518602766,33918525,136315160,19611690,32350050,15147150,29425413,,,-47635410,-1271536,-120738362,-142368189,-106176887
2014-01-30,600516.SH,1534893478,0,1058942,2157004,4468188,10503524,10754072,,,-3562273,-504979,-6195220,-12535837,-78408407
2014-01-30,600415.SH,2721607088,1300649,2548387,0,4066488,6010772,10708190,,,-3493447,-634339,-5867438,-12002233,-52792875
2014-01-30,601360.SH,281906813,0,0,676242,2564362,888456,3709733,,,-1888120,-223633,-343083,14833896,9739312
2014-01-30,601600.SH,9580521924,2787222,2313976,4837148,6100754,4728766,10006721,,,1466430,445097,-18323525,-46073719,-176087012
2014-01-30,601668.SH,29853220000,6842500,34983635,7838321,13351421,11154777,21402198,,,-44376134,-14782686,-86693073,-199136013,-516141695
2014-01-30,600406.SH,2205753602,35422194,64623244,22980695,49188830,31857952,53459423,,,-70666222,-4974212,-87501501,-152169351,103367223
2014-01-30,000540.SZ,1278183416,0,3632828,1191332,7347587,7450253,9356445,,,-8566499,-1617870,-12074567,-7157062,-51621591
2014-01-30,000063.SZ,2800730118,9719692,35345698,17535176,29197304,32118154,83816021,,,-20970171,-1579930,-55897433,-72577528,-343312064
2014-01-30,002050.SZ,583630207,3545971,8685373,1483526,2629511,1556610,1991467,,,-3255889,-301704,-12445223,-21533477,-62877158
2014-01-30,600000.SH,14922777132,39201201,105596676,47829150,73162186,45097947,86177780,,,-39574823,-4312901,-142191904,-275244159,-709199642
2014-01-30,600332.SH,1036601005,24000370,13966359,31327460,31021819,50753939,48718350,,,9019018,319457,-57908510,-90442865,-290246025
2014-01-30,600637.SH,835515668,64862460,68550190,82023201,80751020,73281901,76264546,,,42507374,1019597,-136209215,-118883445,311949443
2014-01-30,300136.SZ,98958820,3836029,8335956,1743753,1695129,1318638,1297773,,,-2144699,-101151,-12718909,-6959158,-44920447
2014-01-30,002415.SZ,3040107175,19940911,27454714,8719778,24393605,8045589,7380124,,,-14734188,-698894,-117593096,-180102592,-234099294
2014-01-30,600208.SH,6257257594,23526220,2841451,5985891,4472899,6711732,5636263,,,10926698,3654530,-18789040,-71263471,-35367832
2014-01-30,601857.SH,161922077818,1623230,2455677,7912312,4683649,5543929,10796928,,,5724306,757904,-11575845,47073791,71443281
2014-01-30,600518.SH,2198714483,44111747,15114251,43778058,30788061,91755758,31832369,,,48573099,2830408,-129986108,-160343456,-560984489
2014-01-30,600233.SH,165000000,0,0,0,0,1869846,2604570,,,0,0,-1544902,-4495572,-6331074
2014-01-30,000983.SZ,3151170859,0,0,0,3198269,3701869,5931639,,,-508727,-83212,-3291253,-29970409,-52667324
2014-01-30,600100.SH,1987701108,49795942,108011335,65184260,83935872,76102577,78777696,,,-64383478,-5887790,42827859,325258181,278754440
2014-01-30,002027.SZ,194063123,13658188,28714458,7585105,10421713,9447107,14690407,,,-11162294,-1373920,-42416788,-25687601,-67143284
2014-01-30,000002.SZ,9676185190,12445458,53329219,23368474,49824448,37831451,68767272,,,-64726170,-8728142,18763314,220576383,-137795966
2014-01-30,600837.SH,8092131180,12475225,36178325,29236943,59923035,41492716,91324692,,,-31261403,-3023043,-212957054,-109729530,-780068372
2014-01-30,601225.SH,500000000,8936643,109023868,26245186,49087002,71502728,56427570,,,-141316638,-34711671,-495149418,-495149418,-495149418
2014-01-30,000938.SZ,206074563,1490536,11017497,19442896,42567503,33704901,41561966,,,-22626356,-721438,-132036715,-135162586,-160165906
2014-01-30,600340.SH,523168830,1499924,2303455,5027229,12961633,12699213,30406700,,,-7270895,-370964,-4008143,13743288,-51388252
2014-01-30,000671.SZ,1025538099,0,10569493,10533746,12151065,16761795,12174971,,,5995326,666676,-41312649,-28760804,-19540447
2014-01-30,002714.SZ,60500000,122403768,149817630,29405768,10631720,23387723,6352645,,,48270339,1427245,347861551,347861551,347861551
2014-01-30,600011.SH,10500000000,0,3895592,1195958,2716827,5618202,5370633,,,-2039607,-420972,15448813,25485037,9770123
2014-01-30,000725.SZ,11507654395,17701850,87447948,12381281,17639381,17443503,27565460,,,-46067850,-21586904,-87341352,-78298306,-114694288
2014-01-30,600373.SH,567245018,29341544,6476420,24391790,29714041,32426696,37487174,,,11241527,483863,86129360,120214366,182305643
2014-01-30,600008.SH,2200000000,0,0,0,2628672,3606516,8684457,,,-2933440,-470473,-18795389,-22081979,-79064338
2014-01-30,600704.SH,790515734,4964160,19545877,20194741,13991576,17328015,12037497,,,-24390740,-2080108,-47906990,25674538,25572517
2014-01-30,002608.SZ,76125000,1464489,879511,2748436,3405789,4720399,4366138,,,1157694,72845,-2320765,-6240414,-32974875
2014-01-30,000425.SZ,2055617489,0,1382849,0,1270388,3445229,5854408,,,-1171905,-170063,-9505732,-12915001,-41903254
2014-01-30,002493.SZ,1019075000,359560,565695,112312,0,361540,910156,,,-185927,-23100,-1795701,-2220713,-11375225
2014-01-30,600804.SH,1338512477,36533238,78035682,74239595,95186114,100462856,108047951,,,-28251375,-1738484,351904120,661349771,668521775
2014-01-30,600588.SH,959246238,15328859,22360515,35929626,58863549,47782008,68773321,,,-6967520,-362422,243765217,277763402,384336273
2014-01-30,601288.SH,284163529197,3411543,21796172,1996151,12534789,5488665,24202920,,,-22623453,-9499647,18194590,11560632,-511437562
