positionName,companyShortName,salary,createTime,companyId,companyFullName,companySize,financeStage,industryField,education,district,businessZones
数据挖掘算法工程师（intern01）,MarcPoint,4k-5k,2019-11-04 10:09:38,41486,上海宏原信息科技有限公司,50-150人,A轮,"电商,广告营销",硕士,徐汇区,
Python数据挖掘讲师,上海传智播客,25k-40k,2019-11-21 15:28:20,158357,江苏传智播客教育科技股份有限公司上海分公司,150-500人,上市公司,"移动互联网,教育",本科,浦东新区,['航头']
数据分析开发工程师（数据挖掘/分析方向）,途虎养车网,25k-40k,2019-11-21 16:58:34,36009,上海阑途信息技术有限公司,2000人以上,D轮及以上,汽车丨出行,本科,闵行区,
大数据挖掘开发工程师,上海米哈游,20k-40k,2019-11-22 13:38:04,7872,上海米哈游网络科技股份有限公司,500-2000人,不需要融资,"移动互联网,游戏",本科,徐汇区,
SFJ-大数据挖掘与分析工程师（数据分析方向）,顺丰科技有限公司,25k-50k,2019-10-28 17:23:27,35996,顺丰科技有限公司,2000人以上,不需要融资,物流丨运输,硕士,徐汇区,"['徐家汇', '龙华']"
26124E-数据产品经理,平安租赁,20k-30k,2019-11-23 00:00:16,140240,平安国际融资租赁有限公司,500-2000人,不需要融资,金融,本科,浦东新区,"['唐镇', '金桥']"
数据分析师,掌门1对1在线教育,15k-30k,2019-11-23 18:26:31,60054,上海掌小门教育科技有限公司,2000人以上,D轮及以上,"移动互联网,教育",本科,虹口区,"['北外滩', '江湾']"
数据产品经理,问卷网@爱调研,20k-30k,2019-11-22 18:34:06,22481,上海众言网络科技有限公司,150-500人,C轮,移动互联网,本科,徐汇区,
数据开发工程师,上海意鹰信息技术有限公司,11k-16k,2019-11-22 16:22:17,479937,上海意鹰信息技术有限公司,150-500人,B轮,"移动互联网,企业服务",大专,徐汇区,['虹梅路']
数据产品经理,探知数据,18k-35k,2019-11-22 15:24:54,163790,上海勃池信息技术有限公司,50-150人,A轮,"金融,数据服务",硕士,静安区,
数据科学家,探知数据,40k-80k,2019-11-22 15:24:54,163790,上海勃池信息技术有限公司,50-150人,A轮,"金融,数据服务",本科,静安区,
数据分析师,极光网络,10k-18k,2019-11-23 09:41:13,52610,上海极光网络科技有限公司,150-500人,上市公司,游戏,本科,嘉定区,['南翔']
1121SE-TED数据分析师,平安科技,15k-30k,2019-11-23 00:00:10,24748,平安科技（深圳）有限公司,2000人以上,不需要融资,金融,本科,徐汇区,
positionName,companyShortName,salary,createTime,companyId,companyFullName,companySize,financeStage,industryField,education,district,businessZones
数据分析师,河姆渡电子商务有限公司,15k-25k,2019-11-23 16:38:10,139645,上海河姆渡实业发展有限公司,500-2000人,A轮,电商,本科,浦东新区,"['世纪公园', '花木', '龙阳路地铁']"
数据分析师,平安金服,30k-60k,2019-11-22 17:44:02,161720,深圳平安综合金融服务有限公司,2000人以上,上市公司,金融,本科,浦东新区,
数据顾问,驰骛科技ChiefClouds,15k-30k,2019-11-22 16:58:09,122296,上海驰骛信息科技有限公司,50-150人,A轮,"数据服务,移动互联网",本科,徐汇区,"['虹梅路', '漕河泾']"
数据产品经理,2144游戏,20k-40k,2019-11-22 18:04:29,133485,上海剑圣网络科技有限公司,150-500人,不需要融资,"移动互联网,游戏",本科,浦东新区,['张江']
数据分析师,新浪时金,10k-20k,2019-11-22 17:55:08,67810,新浪时金（上海）信息技术有限公司,2000人以上,上市公司,金融,本科,浦东新区,"['东明路', '南码头', '六里']"
​数据分析师,至数,5k-10k,2019-11-22 17:02:44,388297,上海至数企业发展有限公司,15-50人,A轮,"数据服务,硬件",本科,徐汇区,"['虹梅路', '田林', '漕河泾']"
数据科学家,CraiditX,15k-30k,2019-11-22 16:50:51,110641,上海氪信信息技术有限公司,50-150人,C轮,人工智能,本科,徐汇区,
数据分析师,京东集团,20k-40k,2019-11-22 16:05:11,18139,北京京东世纪贸易有限公司,2000人以上,上市公司,电商,本科,长宁区,['北新泾']
数据分析师,独立日,15k-30k,2019-11-22 17:06:24,372901,上海跃橙文化传播有限公司,50-150人,B轮,移动互联网,不限,杨浦区,
数据分析师,Soul App,20k-40k,2019-11-22 09:48:29,126457,上海任意门科技有限公司,150-500人,C轮,"社交,文娱丨内容",本科,浦东新区,
高级/资深数据挖掘工程师,字节跳动,30k-60k,2019-10-30 23:47:52,62,北京字节跳动科技有限公司,2000人以上,C轮,文娱丨内容,本科,闵行区,
数据挖掘高级工程师,字节跳动,20k-40k,2019-10-30 23:42:50,62,北京字节跳动科技有限公司,2000人以上,C轮,文娱丨内容,本科,徐汇区,
（高级）用户数据挖掘工程师,字节跳动,30k-60k,2019-10-30 23:47:57,62,北京字节跳动科技有限公司,2000人以上,C轮,文娱丨内容,本科,闵行区,
数据分析师,箱箱物流,20k-25k,2019-11-22 16:12:32,74220,上海箱箱物流科技有限公司,150-500人,C轮,消费生活,本科,闵行区,
数据开发工程师,众标智能科技,10k-15k,2019-11-22 14:33:03,38786,北京众标智能科技有限公司上海分公司,50-150人,A轮,"电商,企业服务",本科,宝山区,"['庙行', '张庙', '长江西路']"
positionName,companyShortName,salary,createTime,companyId,companyFullName,companySize,financeStage,industryField,education,district,businessZones
推荐算法工程师,小象优品,25k-50k,2019-11-22 16:59:19,202633,北京源石云科技有限公司上海分公司,500-2000人,C轮,"移动互联网,电商",大专,徐汇区,"['漕宝路', '漕河泾', '漕宝路', '漕河泾', '漕宝路']"
策略运营专家/高级专家(J10496),哈啰出行,30k-45k,2019-11-22 17:39:49,164989,上海钧正网络科技有限公司,2000人以上,D轮及以上,"移动互联网,硬件",本科,闵行区,
商业/经营分析专家(J10468),哈啰出行,30k-40k,2019-11-22 17:39:49,164989,上海钧正网络科技有限公司,2000人以上,D轮及以上,"移动互联网,硬件",本科,闵行区,
大数据研发专家（团队负责人）,斗象科技,20k-40k,2019-11-22 19:23:41,33219,上海斗象信息科技有限公司,150-500人,B轮,信息安全,本科,浦东新区,
产品实习生Intern,arvato China,1k-2k,2019-11-22 17:25:11,14033,上海贝塔斯曼商业服务有限公司,2000人以上,不需要融资,"广告营销,数据服务",本科,静安区,
算法工程师,飞书互动,15k-30k,2019-11-22 18:50:20,75423,飞书数字科技（上海）有限公司,150-500人,A轮,"社交,广告营销",本科,长宁区,
数据科学家/算法工程师,HARB,20k-40k,2019-11-22 14:07:42,116876,哈步数据科技（上海）有限公司,50-150人,B轮,企业服务,本科,徐汇区,"['田林', '漕河泾', '虹桥']"
